==26498== NVPROF is profiling process 26498, command: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling application: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,us,,,,,,,,B,B,KB,GB/s,,,,,,,,,,,
3.875990,3.168000,,,,,,,,,,39.062500,11.759123,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1116
3.877123,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1119
3.878265,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1122
3.879399,3.360000,,,,,,,,,,39.062500,11.087174,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1125
3.880534,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1128
3.881667,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1131
3.882800,3.360000,,,,,,,,,,39.062500,11.087174,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1134
3.883937,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1137
3.885119,4.480000,,,,,,,,,,39.062500,8.315380,"Device","Pageable","Tesla V100-SXM2-16GB (1)","2","26",,,,,"[CUDA memcpy DtoH]",1140
3.885169,6.336000,,,,,,,,,,39.062500,5.879562,"Device","Pageable","Tesla V100-SXM2-16GB (0)","1","7",,,,,"[CUDA memcpy DtoH]",1141
